,first_name,last_name,bsbref_id,position,bats,throws,cur_team,dob,draft_team,draft_pick,draft_year,high_school,debut
193,Johan,Camargo,camarjo01,"Third Baseman, Shortstop and Second Baseman",Both,Right,Philadelphia Phillies,1993-12-13,,,,,2017-04-11
194,Donovan,Solano,solando01,"Second Baseman, Shortstop and Third Baseman",Right,Right,,1987-12-17,,,,,2012-05-21
195,Wilmer,Flores,florewi01,"Second Baseman, Third Baseman and First Baseman",Right,Right,San Francisco Giants,1991-08-06,,,,Inra,2013-08-06
196,Robbie,Grossman,grossro01,Outfielder,Both,Left,Detroit Tigers,1989-09-16,Pittsburgh Piratesin,,2008,Cy-Fair HS,2013-04-24
197,Rio,Ruiz,ruizri01,"Third Baseman, Pinch Hitter and Second Baseman",Left,Right,,1994-05-22,Houston Astrosin,,2012,Bishop Amat Memorial HS,2016-09-18
198,Erik,Gonzalez,gonzaer01,"Shortstop, Third Baseman and Second Baseman",Right,Right,Miami Marlins,1991-08-31,,,,,2016-07-16
199,Wil,Myers,myerswi01,"Outfielder, First Baseman and Third Baseman",Right,Right,San Diego Padres,1990-12-10,Kansas City Royalsin,,2009,Wesleyan Christian Academy,2013-06-18
200,AJ,Pollock,polloaj01,Centerfielder,Right,Right,Los Angeles Dodgers,1987-12-05,Arizona Diamondbacksin,17,2009,RHAM,2012-04-18
201,Mike,Yastrzemski,yastrmi01,Rightfielder,Left,Left,San Francisco Giants,1990-08-23,Boston Red Soxin,,2009,St. John's Preparatory School,2019-05-25
202,Mark,Canha,canhama01,Outfielder and First Baseman,Right,Right,New York Mets,1989-02-15,Florida Marlinsin,,2010,Bellarmine College Preparatory,2015-04-08
203,Miguel,Sano,sanomi01,"Third Baseman, First Baseman and Rightfielder",Right,Right,Minnesota Twins,1993-05-11,,,,,2015-07-02
204,Adam,Duvall,duvalad01,Leftfielder and First Baseman,Right,Right,Atlanta Braves,1988-09-04,San Francisco Giantsin,,2010,Butler Traditional HS,2014-06-26
205,Maikel,Franco,francma02,Third Baseman,Right,Right,,1992-08-26,,,,,2014-09-02
206,Tommy,La Stella,lasteto01,"Second Baseman, Pinch Hitter and Third Baseman",Left,Right,San Francisco Giants,1989-01-31,Atlanta Bravesin,,2011,St. Joseph Regional HS,2014-05-28
207,J.D.,Davis,davisjd01,"Third Baseman, Leftfielder and First Baseman",Right,Right,New York Mets,1993-04-27,Tampa Bay Raysin,,2011,Elk Grove HS,2017-08-05
208,Raimel,Tapia,tapiara01,Leftfielder and Pinch Hitter,Left,Left,Colorado Rockies,1994-02-04,,,,,2016-09-02
209,Adalberto,Mondesi,mondera02,"Shortstop, Second Baseman and Third Baseman",Both,Right,Kansas City Royals,1995-07-27,,,,,
210,Carlos,Correa,correca01,Shortstop,Right,Right,@TeamCJCorrea,1994-09-22,Houston Astrosin,1,2012,Puerto Rico Baseball Academy,2015-06-08
211,Victor,Reyes,reyesvi01,Outfielder,Both,Right,Detroit Tigers,1994-10-05,,,,,2018-04-01
212,Cavan,Biggio,biggica01,"Second Baseman, Third Baseman and Rightfielder",Left,Right,Toronto Blue Jays,1995-04-11,Philadelphia Philliesin,,2013,St. Thomas HS,2019-05-24
213,Jake,Cronenworth,croneja01,"Second Baseman, Shortstop and First Baseman",Left,Right,San Diego Padres,1994-01-21,Tampa Bay Raysin,,2015,St. Clair HS,2020-07-26
214,J.P.,Crawford,crawfjp01,Shortstop and Third Baseman,Left,Right,Seattle Mariners,1995-01-11,Philadelphia Philliesin,16,2013,Lakewood HS,2017-09-05
215,Kyle,Lewis,lewisky01,Centerfielder,Right,Right,Seattle Mariners,1995-07-13,Seattle Marinersin,11,2016,Shiloh HS,2019-09-10
216,Dominic,Smith,smithdo02,Leftfielder and First Baseman,Left,Left,New York Mets,1995-06-15,New York Metsin,11,2013,Junipero Serra HS,2017-08-11
217,Isiah,Kiner-Falefa,kineris01,"Shortstop, Third Baseman and Catcher",Right,Right,Texas Rangers,1995-03-23,Texas Rangersin,,2013,Mid Pacific Institute HS,2018-04-10
218,Alex,Verdugo,verdual01,Outfielder,Left,Left,Boston Red Sox,1996-05-15,Los Angeles Dodgersin,,2014,Sahuaro HS,2017-09-01
219,Evan,White,whiteev01,First Baseman,Right,Left,Seattle Mariners,1996-04-26,Seattle Marinersin,17,2017,Lincoln HS,2020-07-24
220,Ramon,Laureano,laurera01,Centerfielder,Right,Right,Oakland Athletics,1994-07-15,Houston Astrosin,,2014,,2018-08-03
221,Austin,Riley,rileyau01,"Third Baseman, Leftfielder and First Baseman",Right,Right,Atlanta Braves,1997-04-02,Atlanta Bravesin,41,2015,DeSoto Central HS,2019-05-15
222,Kyle,Tucker,tuckeky01,Outfielder,Left,Right,Houston Astros,1997-01-17,Houston Astrosin,5,2015,H. B. Plant HS,2018-07-07
223,Trent,Grisham,grishtr01,Centerfielder,Left,Left,San Diego Padres,1996-11-01,Milwaukee Brewersin,15,2015,Richland HS,2019-08-01
224,Ian,Happ,happia01,"Outfielder, Second Baseman and Third Baseman",Both,Right,Chicago Cubs,1994-08-12,Chicago Cubsin,9,2015,Mount Lebanon HS,2017-05-13
225,Brandon,Lowe,lowebr01,Second Baseman and Outfielder,Left,Right,Tampa Bay Rays,1994-07-06,Tampa Bay Raysin,,2015,,2018-08-05
226,Fernando,Tatis Jr.,tatisfe02,Shortstop and Rightfielder,Right,Right,San Diego Padres,1999-01-02,,,,,2019-03-28
227,Lourdes,Gurriel Jr.,gurrilo01,"Leftfielder, Shortstop and Second Baseman",Right,Right,Toronto Blue Jays,1993-10-10,,,,,2018-04-20
228,Tommy,Edman,edmanto01,"Second Baseman, Third Baseman and Rightfielder",Both,Right,St. Louis Cardinals,1995-05-09,St. Louis Cardinalsin,,2016,La Jolla Country Day School,2019-06-08
229,Nick,Solak,solakni01,"Second Baseman, Leftfielder and Third Baseman",Right,Right,Texas Rangers,1995-01-11,New York Yankeesin,,2016,Naperville North HS,2019-08-20
230,Keston,Hiura,hiurake01,Second Baseman and First Baseman,Right,Right,Milwaukee Brewers,1996-08-02,Milwaukee Brewersin,9,2017,Valencia HS,2019-05-14
231,Nicky,Lopez,lopezni01,Shortstop and Second Baseman,Left,Right,Kansas City Royals,1995-03-13,Kansas City Royalsin,,2016,Central HS,2019-05-14
232,Luis,Robert,roberlu01,Centerfielder,Right,Right,Chicago White Sox,1997-08-03,,,,,2020-07-24
233,Josh,Harrison,harrijo05,"Second Baseman, Third Baseman and Outfielder",Right,Right,,1987-07-08,Chicago Cubsin,,2008,Princeton HS,2011-05-31
234,Jonathan,Schoop,schoojo01,Second Baseman and First Baseman,Right,Right,Detroit Tigers,1991-10-16,,,,,2013-09-25
235,Kyle,Farmer,farmeky01,"Shortstop, Second Baseman and Third Baseman",Right,Right,Cincinnati Reds,1990-08-17,New York Yankeesin,,2012,Marist School,2017-07-30
236,Enrique,Hernandez,hernaen02,"Outfielder, Second Baseman and Shortstop",Right,Right,Boston Red Sox,1991-08-24,Houston Astrosin,,2009,American Military Academy,2014-07-01
237,Michael A.,Taylor,taylomi01,Outfielder,Right,Right,,1985-12-19,Philadelphia Philliesin,,2007,Apopka HS,2011-09-02
238,Aaron,Judge,judgeaa01,Rightfielder,Right,Right,New York Yankees,1992-04-26,Oakland Athleticsin,,2010,Linden HS,2016-08-13
239,Hunter,Renfroe,renfrhu01,Rightfielder,Right,Right,Milwaukee Brewers,1992-01-28,Boston Red Soxin,,2010,Copiah Academy,2016-09-21
240,Tyler,O'Neill,oneilty01,Leftfielder,Right,Right,St. Louis Cardinals,1995-06-22,Seattle Marinersin,,2013,Garibaldi SS,2018-04-19
241,Luis,Urias,uriaslu01,"Shortstop, Third Baseman and Second Baseman",Right,Right,Milwaukee Brewers,1997-06-03,,,,,2018-08-28
242,Yandy,Diaz,diazya01,Third Baseman and First Baseman,Right,Right,Tampa Bay Rays,1991-08-08,,,,,2017-04-03
243,Cedric,Mullins II,mullice01,Centerfielder,Left,Left,Baltimore Orioles,1994-10-01,Baltimore Oriolesin,,2015,Brookwood HS,2018-08-10
244,Pavin,Smith,smithpa04,Outfielder and First Baseman,Left,Left,Arizona Diamondbacks,1996-02-06,Colorado Rockiesin,,2014,Palm Beach Gardens HS,2020-09-12
245,Shohei,Ohtani,ohtansh01,Designated Hitter and Pitcher,Left,Right,Los Angeles Angels,1994-07-05,,,,Hanamaki Higashi,2018-03-29
246,Ryan,Mountcastle,mountry01,First Baseman and Leftfielder,Right,Right,Baltimore Orioles,1997-02-18,Baltimore Oriolesin,36,2015,Paul J. Hagerty HS,2020-08-21
247,Jonathan,India,indiajo01,Second Baseman,Right,Right,Cincinnati Reds,1996-12-15,Milwaukee Brewersin,,2015,American Heritage HS,2021-04-01
248,Nathaniel,Lowe,lowena01,First Baseman,Left,Right,Texas Rangers,1995-07-07,Tampa Bay Raysin,,2016,Pope HS,2019-04-29
249,Ty,France,francty01,"First Baseman, Second Baseman and Third Baseman",Right,Right,Seattle Mariners,1994-07-13,San Diego Padresin,,2015,,2019-04-26
250,Myles,Straw,strawmy01,Centerfielder and Shortstop,Right,Right,Cleveland Indians,1994-10-17,Houston Astrosin,,2015,,2018-09-15
251,Jared,Walsh,walshja01,First Baseman and Rightfielder,Left,Left,Los Angeles Angels,1993-07-30,Los Angeles Angels,,2015,Peachtree Ridge HS,2019-05-15
252,Jazz,Chisholm Jr.,chishja01,Second Baseman and Shortstop,Left,Right,Miami Marlins,1998-02-01,,,,,2020-09-01
253,Bo,Bichette,bichebo01,Shortstop,Right,Right,Toronto Blue Jays,1998-03-05,Toronto Blue Jaysin,,2016,Lakewood HS,2019-07-29
254,Dylan,Carlson,carlsdy01,Outfielder,Both,Left,St. Louis Cardinals,1998-10-23,St. Louis Cardinalsin,33,2016,Elk Grove HS,2020-08-15
255,Adolis,Garcia,garciad01,Third Baseman and Leftfielder,Right,Right,,1985-04-12,,,,,2015-05-19
256,Randy,Arozarena,arozara01,Outfielder,Right,Right,Tampa Bay Rays,1995-02-28,,,,,2019-08-14
257,Josh,Rojas,rojasjo01,"Outfielder, Second Baseman and Shortstop",Left,Right,Arizona Diamondbacks,1994-06-30,Houston Astrosin,,2017,Millennium HS,2019-08-12
258,Austin,Hays,haysau01,Outfielder,Right,Right,Baltimore Orioles,1995-07-05,Baltimore Oriolesin,,2016,Spruce Creek HS,2017-09-07
259,Yordan,Alvarez,alvaryo01,Designated Hitter and Leftfielder,Left,Right,Houston Astros,1997-06-27,,,,,2019-06-09
260,Torii,Hunter,hunteto01,Outfielder,Right,Right,,1975-07-18,Minnesota Twinsin,20,1993,Pine Bluff HS,1997-08-22
261,David,Ortiz,ortizda01,Designated Hitter and First Baseman,Left,Left,,1975-11-18,,,,Estudia Espillat,1997-09-02
262,Alex,Rodriguez,rodrial01,Shortstop and Third Baseman,Right,Right,,1975-07-27,Seattle Marinersin,1,1993,Westminster Christian School,1994-07-08
263,Aramis,Ramirez,ramirar01,Third Baseman,Right,Right,,1978-06-25,,,,Aida Cartagena Portalatin,1998-05-26
264,Adrian,Beltre,beltrad01,Third Baseman,Right,Right,,1979-04-07,,,,Liceo Maximo Gomez,1998-06-24
265,Carlos,Beltran,beltrca01,Centerfielder,Both,Right,,1977-04-24,Kansas City Royalsin,,1995,Fernando Callejo HS,1998-09-14
266,Jimmy,Rollins,rolliji01,Shortstop,Both,Right,,1978-11-27,Philadelphia Philliesin,,1996,Encinal HS,2000-09-17
267,Marlon,Byrd,byrdma01,Outfielder,Right,Right,,1977-08-30,Philadelphia Philliesin,,1999,Sprayberry HS,2002-09-08
268,Adrian,Gonzalez,gonzaad01,First Baseman,Left,Left,,1982-05-08,Florida Marlinsin,1,2000,Eastlake HS,2004-04-18
269,Brandon,Phillips,phillbr01,Second Baseman,Right,Right,,1981-06-28,Montreal Exposin,,1999,Redan HS,2002-09-13
270,Jose,Reyes,reyesjo01,"Shortstop, Third Baseman and Second Baseman",Both,Right,,1983-06-11,,,,Liceo Delia Reyes,2003-06-10
271,Jhonny,Peralta,peraljh01,Shortstop and Third Baseman,Right,Right,,1982-05-28,,,,Collejo Pedagojico,2003-06-12
272,Prince,Fielder,fieldpr01,First Baseman,Left,Right,,1984-05-09,Milwaukee Brewersin,7,2002,Eau Gallie HS,2005-06-13
273,Robinson,Cano,canoro01,Second Baseman,Left,Right,New York Mets,1982-10-22,,,,San Pedro de Macoris,2005-05-03
274,Ryan,Howard,howarry01,First Baseman,Left,Left,,1979-11-19,Philadelphia Philliesin,,2001,Lafayette HS,2004-09-01
275,Jose,Bautista,bautijo02,Rightfielder and Third Baseman,Right,Right,,1980-10-19,Pittsburgh Piratesin,,2000,De La Salle,2004-04-04
276,Erick,Aybar,aybarer01,Shortstop and Second Baseman,Both,Right,,1984-01-14,,,,Freddie Pimental,2006-05-16
277,Russell,Martin,martiru01,Catcher,Right,Right,,1983-02-15,Montreal Exposin,,2000,Polyvalente Edouard Montpetit,2006-05-05
278,Curtis,Granderson,grandcu01,Outfielder,Left,Right,,1981-03-16,Detroit Tigersin,,2002,Thornton Fractional South HS,2004-09-13
279,Angel,Pagan,paganan01,Centerfielder,Both,Right,,1981-07-02,New York Metsin,,1999,Republica De Colombia HS,2006-04-03
280,Kendrys,Morales,moralke01,Designated Hitter and First Baseman,Both,Right,,1983-06-20,,,,,2006-05-23
281,Brian,McCann,mccanbr01,Catcher,Left,Right,,1984-02-20,Atlanta Bravesin,,2002,Duluth HS,2005-06-10
282,Neil,Walker,walkene01,"Second Baseman, First Baseman and Third Baseman",Both,Right,,1985-09-10,Pittsburgh Piratesin,11,2004,Pine-Richland HS,2009-09-01
283,Mark,Trumbo,trumbma01,"Outfielder, First Baseman and Designated Hitter",Right,Right,,1986-01-16,Anaheim Angelsin,,2004,Villa Park HS,2010-09-11
284,Martin,Prado,pradoma01,"Third Baseman, Second Baseman and Leftfielder",Right,Right,,1983-10-27,,,,,2006-04-23
285,Lucas,Duda,dudalu01,First Baseman and Outfielder,Left,Right,,1986-02-03,New York Metsin,,2007,Arlington HS,2010-09-01
286,Chase,Headley,headlch01,"Third Baseman, Leftfielder and First Baseman",Both,Right,,1984-05-09,San Diego Padresin,,2005,Fountain-Fort Carson HS,2007-06-15
287,Adam,Lind,lindad01,"First Baseman, Designated Hitter and Leftfielder",Left,Left,,1983-07-17,Minnesota Twinsin,,2002,Highland HS,2006-09-02
288,Troy,Tulowitzki,tulowtr01,Shortstop,Right,Right,,1984-10-10,Colorado Rockiesin,7,2005,Fremont HS,2006-08-30
289,Todd,Frazier,frazito01,Third Baseman and First Baseman,Right,Right,,1986-02-12,Colorado Rockiesin,,2004,Toms River South HS,2011-05-23
290,Billy,Butler,butlebi03,Designated Hitter and First Baseman,Right,Right,,1986-04-18,Kansas City Royalsin,14,2004,Wolfson HS,2007-05-01
291,Austin,Jackson,jacksau01,Centerfielder,Right,Right,,1987-02-01,New York Yankeesin,,2005,Billy Ryan HS,2010-04-05
292,Cameron,Maybin,maybica01,Centerfielder,Right,Right,,1987-04-04,Detroit Tigersin,10,2005,T. C. Roberson HS,2007-08-17
293,Buster,Posey III,poseybu01,Catcher and First Baseman,Right,Right,,1987-03-27,Los Angeles Angels,,2005,Lee County HS,2009-09-11
294,Jay,Bruce,bruceja01,Rightfielder and First Baseman,Left,Left,,1987-04-03,Cincinnati Redsin,12,2005,West Brook HS,2008-05-27
295,Chris,Coghlan,coghlch01,"Leftfielder, Third Baseman and Second Baseman",Left,Right,,1985-06-18,Arizona Diamondbacksin,,2003,East Lake HS,2009-05-08
296,Brandon,Moss,mossbr01,Outfielder and First Baseman,Left,Right,,1983-09-16,Boston Red Soxin,,2002,Loganville HS,2007-08-06
297,Trevor,Plouffe,plouftr01,"Third Baseman, Shortstop and First Baseman",Right,Right,,1986-06-15,Minnesota Twinsin,20,2004,Crespi Carmelite HS,2010-05-21
298,Francisco,Cervelli,cervefr01,Catcher,Right,Right,,1986-03-06,,,,,2008-09-18
299,Melky,Cabrera,cabreme01,Outfielder,Both,Left,,1984-08-11,,,,,2005-07-07
300,Pablo,Sandoval,sandopa01,Third Baseman and First Baseman,Both,Right,,1986-08-11,,,,Cento Estudio,2008-08-14
301,Gerardo,Parra,parrage01,Outfielder,Left,Left,,1987-05-06,,,,Liceo Francisco Pulgar,2009-05-13
302,Yunel,Escobar,escobyu01,Shortstop and Third Baseman,Right,Right,,1982-11-02,Atlanta Bravesin,,2005,Matires de Barbados,2007-06-02
303,Logan,Morrison,morrilo01,First Baseman and Leftfielder,Left,Left,,1987-08-25,Florida Marlinsin,,2005,Northshore HS,2010-07-27
304,Yoenis,Cespedes,cespeyo01,Leftfielder,Right,Right,,1985-10-18,,,,,2012-03-28
305,Alexei,Ramirez,ramiral01,Pitcher,Right,Right,,1957-05-01,Philadelphia Philliesin,,1975,Victoria HS,1983-06-08
306,Daniel,Murphy,murphda08,"Second Baseman, First Baseman and Third Baseman",Left,Right,,1985-04-01,New York Metsin,,2006,Englewood HS,2008-08-02
307,Mitch,Moreland,morelmi01,First Baseman and Rightfielder,Left,Left,,1985-09-06,Texas Rangersin,,2007,Amory HS,2010-07-29
308,Derek,Norris,norride01,Catcher,Right,Right,,1989-02-14,Washington Nationalsin,,2007,Goddard HS,2012-06-21
309,Ben,Revere,reverbe01,Outfielder,Left,Right,,1988-05-03,Minnesota Twinsin,28,2007,Lexington Catholic HS,2010-09-07
310,Stephen,Vogt,vogtst01,"Catcher, First Baseman and Outfielder",Left,Right,,1984-11-01,Tampa Bay Devil Raysin,,2007,Central Valley Christian HS,2012-04-06
311,Logan,Forsythe,forsylo01,"Second Baseman, Third Baseman and First Baseman",Right,Right,,1987-01-14,San Diego Padresin,46,2008,Christian Brothers HS,2011-05-04
312,Billy,Burns,burnsbi02,Centerfielder,Both,Right,,1989-08-30,Atlanta Bravesin,,2008,Walton HS,2014-07-28
313,Johnny,Giavotella,giavojo01,Second Baseman,Right,Right,,1987-07-10,Kansas City Royalsin,,2008,Jesuit HS,2011-08-05
314,Anthony,Gose,gosean01,Centerfielder,Left,Left,Cleveland Indians,1990-08-10,Philadelphia Philliesin,,2008,Bellflower HS,2012-07-17
315,Brett,Lawrie,lawribr01,Third Baseman and Second Baseman,Right,Right,,1990-01-18,Milwaukee Brewersin,16,2008,Brookswood SS,2011-08-05
316,Brock,Holt,holtbr01,"Second Baseman, Third Baseman and Outfielder",Left,Right,,1988-06-11,Pittsburgh Piratesin,,2009,Stephenville HS,2012-09-01
317,Chris,Owings,owingch01,"Shortstop, Second Baseman and Outfielder",Right,Right,,1991-08-12,Arizona Diamondbacksin,41,2009,Gilbert HS,2013-09-03
318,Evan,Gattis,gattiev01,"Designated Hitter, Catcher and Leftfielder",Right,Right,,1986-08-18,Atlanta Bravesin,,2010,Bishop Lynch HS,2013-04-03
319,Kevin,Kiermaier,kiermke01,Centerfielder,Left,Right,Tampa Bay Rays,1990-04-22,Tampa Bay Raysin,,2010,Bishop Luers HS,2013-09-30
320,Jace,Peterson,peterja01,"Second Baseman, Outfielder and Third Baseman",Left,Right,Milwaukee Brewers,1990-05-09,San Diego Padresin,58,2011,Hamilton Christian Academy,2014-04-25
321,Addison,Russell,russead02,Shortstop and Second Baseman,Right,Right,,1994-01-23,Oakland Athleticsin,11,2012,Pace HS,2015-04-21
322,Jayson,Werth,werthja01,Outfielder,Right,Right,,1979-05-20,Baltimore Oriolesin,22,1997,Glenwood HS,2002-09-01
323,Chase,Utley,utleych01,Second Baseman,Left,Right,,1978-12-17,Los Angeles Dodgersin,,1997,Polytechnic HS,2003-04-04
324,B.J.,Upton Jr.,uptonbj01,Centerfielder and Third Baseman,Right,Right,,1984-08-21,Tampa Bay Devil Raysin,2,2002,Greenbrier Christian Academy,2004-08-02
325,Hanley,Ramirez,ramirha01,"Shortstop, First Baseman and Third Baseman",Right,Right,,1983-12-23,,,,Adbentista,2005-09-20
326,Howie,Kendrick III,kendrho01,"Second Baseman, Leftfielder and First Baseman",Right,Right,,1983-07-12,Anaheim Angelsin,,2002,West Nassau HS,2006-04-26
327,Mike,Napoli,napolmi01,First Baseman and Catcher,Right,Right,,1981-10-31,Anaheim Angelsin,,2000,Charles Flanagan HS,2006-05-04
328,Zack,Cozart,cozarza01,Shortstop and Third Baseman,Right,Right,,1985-08-12,Cincinnati Redsin,,2007,Collierville HS,2011-07-07
329,Denard,Span,spande01,Centerfielder,Left,Left,,1984-02-27,Minnesota Twinsin,20,2002,Tampa Catholic HS,2008-04-06
330,Jacoby,Ellsbury,ellsbja01,Centerfielder,Left,Left,,1983-09-11,Tampa Bay Devil Raysin,,2002,Madras HS,2007-06-30
331,Dustin,Pedroia,pedrodu01,Second Baseman,Right,Right,,1983-08-17,Boston Red Soxin,,2004,Woodland HS,2006-08-22
332,Danny,Espinosa,espinda01,Second Baseman and Shortstop,Both,Right,,1987-04-25,Washington Nationalsin,,2008,Mater Dei HS,2010-09-01
333,Michael,Saunders,saundmi01,Outfielder,Left,Right,,1986-11-19,Seattle Marinersin,,2004,Lambrick Park SS,2009-07-25
334,Jordy,Mercer,mercejo03,Shortstop and Second Baseman,Right,Right,,1986-08-27,Los Angeles Dodgersin,,2005,Taloga HS,2012-05-29
335,Chris,Carter,cartech02,"First Baseman, Designated Hitter and Leftfielder",Right,Right,,1986-12-18,Chicago White Soxin,,2005,Sierra Vista HS,2010-08-09
336,Danny,Valencia,valenda01,"Third Baseman, First Baseman and Outfielder",Right,Right,,1984-09-19,Minnesota Twinsin,,2006,Spanish River Community HS,2010-06-03
337,Jonathan,Lucroy,lucrojo01,Catcher and First Baseman,Right,Right,,1986-06-13,Milwaukee Brewersin,,2007,Umatilla HS,2010-05-21
338,Brad,Miller,millebr02,"Shortstop, Second Baseman and First Baseman",Left,Right,,1989-10-18,Texas Rangersin,,2008,Olympia HS,2013-06-28
339,Leonys,Martin,martile01,Centerfielder,Left,Right,,1988-03-06,,,,,2011-09-02
340,Jake,Lamb,lambja01,"Third Baseman, First Baseman and Outfielder",Left,Right,,1990-10-09,Pittsburgh Piratesin,,2009,Bishop Blanchet HS,2014-08-07
341,Adeiny,Hechavarria,hechaad01,"Shortstop, Second Baseman and Third Baseman",Right,Right,,1989-04-15,,,,,2012-08-04
342,Cheslor,Cuthbert,cuthbch01,Third Baseman and First Baseman,Right,Right,,1992-11-16,,,,,2015-07-07
343,Joe,Panik,panikjo01,Second Baseman and Third Baseman,Left,Right,,1990-10-30,San Francisco Giantsin,29,2011,John Jay HS,2014-06-21
344,Adonis,Garcia,garciad01,Third Baseman and Leftfielder,Right,Right,,1985-04-12,,,,,2015-05-19
345,Yasmany,Tomas,tomasya01,Outfielder and Third Baseman,Right,Right,,1990-11-14,,,,,2015-04-15
346,Mark,Reynolds,reynoma01,Third Baseman and First Baseman,Right,Right,,1983-08-03,Arizona Diamondbacksin,,2004,First Colonial HS,2007-05-16
347,Hunter,Pence,pencehu01,Rightfielder,Right,Right,,1983-04-13,Milwaukee Brewersin,,2002,Arlington HS,2007-04-28
348,Matt,Joyce,joycema01,Outfielder and Pinch Hitter,Left,Right,,1984-08-03,Detroit Tigersin,,2005,Armwood HS,2008-05-05
349,Ryan,Zimmerman,zimmery01,Third Baseman and First Baseman,Right,Right,,1984-09-28,Washington Nationalsin,4,2005,Kellam HS,2005-09-01
350,David,Freese,freesda01,Third Baseman and First Baseman,Right,Right,,1983-04-28,San Diego Padresin,,2006,Lafayette HS,2009-04-06
351,Steven,Souza Jr.,souzast01,Rightfielder,Right,Right,,1989-04-24,Washington Nationalsin,,2007,Cascade HS,2014-04-13
352,Eric,Thames,thameer01,First Baseman and Outfielder,Left,Right,,1986-11-10,New York Yankeesin,,2007,Bellarmine College Preparatory,2011-05-18
353,Tim,Beckham,beckhti01,"Shortstop, Second Baseman and Third Baseman",Right,Right,,1990-01-27,Tampa Bay Raysin,1,2008,Griffin HS,2013-09-19
354,Tommy,Joseph,josepto01,First Baseman,Right,Right,,1991-07-16,San Francisco Giantsin,,2009,Horizon HS,2016-05-13
355,Ben,Gamel,gamelbe01,Outfielder,Left,Left,Pittsburgh Pirates,1992-05-17,New York Yankeesin,,2010,Bishop Kenney HS,2016-05-06
356,Scott,Schebler,schebsc01,Rightfielder,Left,Right,,1990-10-06,Los Angeles Dodgersin,,2010,Cedar Rapids Prairie HS,2015-06-05
357,Gary,Sanchez,sanchga02,Catcher,Right,Right,New York Yankees,1992-12-02,,,,,2015-10-03
358,Byron,Buxton,buxtoby01,Centerfielder,Right,Right,Minnesota Twins,1993-12-18,Minnesota Twinsin,2,2012,Appling County HS,2015-06-14
